"FullName","Extension","Length","CreationTime","LastWriteTime","LastAccessTime","DirectoryName","AgeInDays","Size"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1413.vhdx",".vhdx","339738624","19/04/2023 15:25:24","19/04/2023 17:01:19","19/04/2023 15:25:24","z:\","842","324.00 MB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1423.vhdx",".vhdx","9902751744","07/06/2023 12:03:36","08/08/2025 16:39:35","07/06/2023 12:03:36","z:\","793","9.22 GB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1424.vhdx",".vhdx","809500672","02/06/2023 09:45:09","27/02/2024 10:58:42","02/06/2023 09:45:09","z:\","798","772.00 MB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1462.vhdx",".vhdx","306184192","02/10/2023 11:37:30","02/10/2023 12:19:10","02/10/2023 11:37:30","z:\","676","292.00 MB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1466.vhdx",".vhdx","15237906432","26/10/2023 09:27:26","08/08/2025 16:39:46","26/10/2023 09:27:26","z:\","652","14.19 GB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1470.vhdx",".vhdx","339738624","28/11/2023 14:21:45","13/05/2024 17:08:17","28/11/2023 14:21:45","z:\","619","324.00 MB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1483.vhdx",".vhdx","25371344896","22/01/2024 10:08:31","08/08/2025 16:39:46","22/01/2024 10:08:31","z:\","564","23.63 GB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1614.vhdx",".vhdx","68857888768","24/05/2018 11:50:44","08/08/2025 16:30:44","24/05/2018 11:50:44","z:\","2633","64.13 GB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1643.vhdx",".vhdx","9667870720","20/01/2020 14:42:56","31/07/2025 16:00:54","20/01/2020 14:42:56","z:\","2027","9.00 GB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1647.vhdx",".vhdx","876609536","21/08/2019 10:08:21","15/02/2023 00:13:29","21/08/2019 10:08:21","z:\","2179","836.00 MB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1652.vhdx",".vhdx","5574230016","19/06/2019 11:27:36","09/04/2025 09:38:49","19/06/2019 11:27:36","z:\","2242","5.19 GB"
"z:\UVHD-S-1-5-21-1942362167-1422280307-2661674361-1679.vhdx",".vhdx","6043992064","10/03/2021 09:41:35","17/07/2025 10:23:19","10/03/2021 09:41:35","z:\","1612","5.63 GB"
"z:\UVHD-S-1-5-21-564475846-1386099197-2843996979-500.vhdx",".vhdx","876609536","27/02/2020 16:28:40","10/05/2023 19:06:22","27/02/2020 16:28:40","z:\","1989","836.00 MB"
"z:\actifio\RASClient_Basic-x64.exe",".exe","63266792","10/05/2024 15:01:28","10/05/2024 12:09:12","10/05/2024 15:01:28","z:\actifio","455","60.34 MB"
"z:\Crowdstrike agent\rocky test\falcon-sensor-7.07.0-16206.el9.x86_64.rpm",".rpm","55233512","12/04/2024 11:16:11","12/04/2024 11:15:32","12/04/2024 11:16:11","z:\Crowdstrike agent\rocky test","483","52.67 MB"
"z:\DAMINDA\20.10R14.zip",".zip","510302192","13/12/2024 17:16:30","13/12/2024 17:17:10","14/05/2025 10:08:35","z:\DAMINDA","237","486.66 MB"
"z:\DAMINDA\asav9-20-3.zip",".zip","352005996","19/08/2024 10:22:39","16/08/2024 12:07:37","19/08/2024 10:22:39","z:\DAMINDA","354","335.70 MB"
